Concentration_uM,Rep1,Rep2,Rep3
6.5,0.098,0.082,0.077
13,0.183,0.161,0.162
25,0.393,0.369,0.373
50,0.784,0.513,0.76
100,1.466,1.454,1.464
,,,
,,,
,,,
,,,
Unknown A,0.238,0.245,0.265
Unknown B,0.618,0.627,0.623
Unknown C,1.121,1.135,1.125
